Sub_ID,Age,condition,glorp_type,glorp_adj,glorp,peebo_type,peebo_adj,peebo,tibu_type,tibu_adj,tibu,zib_type,zib_adj,zib,Size_correct,Feature_correct,total correct,comments,location,agegroup,posttest,broken,whole,shortest,longest,clean,dirty,tallest,shortest,wet,dry,biggest,smallest,smoothest,pointiest
011013_09,3.64,1-AB,Size,small,1,Feature,pointy,0,Feature,wet,1,Size,tall,1,1,2,3,,CDM,3.5--4.0,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1
020713_04,3.64,1-AB,Size,small,1,Feature,pointy,1,Feature,wet,1,Size,tall,0,1,2,3,,CDM,3.5--4.0,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1
013113_05,3.66,1-BB,Feature,broken,1,Size,short,1,Size,long,0,Feature,dirty,0,1,1,2,,CDM,3.5--4.0,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1
020713_01,3.66,1-AA,Size,small,1,Feature,pointy,0,Feature,wet,0,Size,tall,0,1,0,1,,CDM,3.5--4.0,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1
011713_09,3.67,1-BB,Feature,broken,1,Size,short,1,Size,long,1,Feature,dirty,1,2,2,4,,CDM,3.5--4.0,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1
012413_13,3.69,1-BB,Feature,broken,0,Size,short,1,Size,long,0,Feature,dirty,0,2,0,1,,CDM,3.5--4.0,85.71,1,1,0,1,1,1,1,0,1,1,1,1,1,1
012413_14,3.69,1-BB,Feature,broken,1,Size,short,1,Size,long,0,Feature,dirty,1,1,2,3,,CDM,3.5--4.0,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1
012413_05,3.72,1-BA,Feature,broken,1,Size,short,1,Size,long,0,Feature,dirty,0,1,1,2,,CDM,3.5--4.0,92.86,1,1,1,0,1,1,1,1,1,1,1,1,1,1
011713_01,3.76,2-BA,Feature,broken,1,Size,short,1,Feature,wet,1,Size,tall,1,2,2,4,,CDM,3.5--4.0,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1
112712_03,3.77,2-BB,Feature,broken,1,Size,short,0,Feature,wet,0,Size,tall,1,1,1,2,,Bing,3.5--4.0,82.14,1,1,0,1,1,1,1,0,1,1,1,0.5,1,1
012413_12,3.78,2-AA,Size,small,1,Feature,pointy,0,Size,long,0,Feature,dirty,1,1,1,2,,CDM,3.5--4.0,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1
120512_06,3.79,1-BA,Feature,broken,1,Size,short,1,Size,long,1,Feature,dirty,1,2,2,4,,Bing,3.5--4.0,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1
011013_05,3.81,1-AA,Size,small,1,Feature,pointy,0,Feature,wet,1,Size,tall,1,1,2,3,,CDM,3.5--4.0,92.86,1,1,1,1,1,1,1,1,1,1,1,0,1,1
011013_02,3.82,1-AA,Size,small,0,Feature,pointy,1,Feature,wet,1,Size,tall,1,1,2,3,,CDM,3.5--4.0,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1
111612_07,3.82,2-AA,Size,small,1,Feature,pointy,1,Size,long,1,Feature,dirty,1,2,2,4,good clip/very articulate!,CDM,3.5--4.0,92.86,1,1,0.5,1,1,1,1,0.5,1,1,1,1,1,1
121012_02,3.86,2-BA,Feature,broken,1,Size,short,1,Feature,wet,1,Size,tall,1,2,2,4,,Bing,3.5--4.0,92.86,1,0,1,1,1,1,1,1,1,1,1,1,1,1
120612_02,3.89,1-BA,Feature,broken,1,Size,short,1,Size,long,1,Feature,dirty,1,2,2,4,,Bing,3.5--4.0,85.71,1,1,1,1,1,1,1,1,1,1,1,1,0,0
112712_01,3.9,2-BA,Feature,broken,1,Size,short,1,Feature,wet,1,Size,tall,1,2,2,4,,Bing,3.5--4.0,82.14,1,1,1,1,1,1,1,0.5,1,1,1,1,0,0
120512_04,3.92,2-AB,Size,small,1,Feature,pointy,1,Size,long,1,Feature,dirty,0,2,1,3,choose by interest zib trial?,Bing,3.5--4.0,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1
102312_01,4.01,2-AB,Size,small,1,Feature,pointy,1,Size,long,1,Feature,dirty,1,2,2,4,,Bing,4.0--4.5,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1
102612_09,4.03,2-BB,Feature,broken,1,Size,short,1,Feature,wet,1,Size,tall,1,2,2,4,child being contrary,CDM,4.0--4.5,89.29,1,0.5,1,0,1,1,1,1,1,1,1,1,1,1
110612_02,4.06,2-AB,Size,small,1,Feature,pointy,1,Size,long,1,Feature,dirty,1,2,2,4,,Bing,4.0--4.5,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1
102012_02,4.07,1-BB,Feature,broken,1,Size,short,1,Size,long,1,Feature,dirty,1,2,2,4,good clip,CDM,4.0--4.5,85.71,1,1,0,1,1,1,1,0,1,1,1,1,1,1
102612_03,4.08,2-BB,Feature,broken,1,Size,short,1,Feature,wet,1,Size,tall,0,1,2,3,use wrong word posttest,CDM,4.0--4.5,96.43,1,1,1,1,1,1,1,0.5,1,1,1,1,1,1
103012_07,4.09,1-AB,Size,small,1,Feature,pointy,1,Feature,wet,0,Size,tall,0,1,1,2,,Bing,4.0--4.5,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1
102012_10,4.14,2-BA,Feature,broken,1,Size,short,1,Feature,wet,1,Size,tall,1,2,2,4,,CDM,4.0--4.5,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1
101812_02,4.15,1-BA,Feature,broken,1,Size,short,0,Size,long,1,Feature,dirty,1,1,2,3,,Bing,4.0--4.5,82.14,1,1,0.5,1,1,1,1,0.5,1,1,0.5,1,1,
112912_01,4.17,2-AA,Size,small,1,Feature,pointy,0,Size,long,1,Feature,dirty,1,1,2,3,,Bing,4.0--4.5,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1
101912_03,4.18,1-AA,Size,small,0,Feature,pointy,1,Feature,wet,1,Size,tall,0,0,2,2,"father semi-interrupts, child kids on practice trials",CDM,4.0--4.5,92.86,1,1,1,1,1,1,1,0,1,1,1,1,1,1
103012_02,4.21,1-BA,Feature,broken,1,Size,short,0,Size,long,0,Feature,dirty,1,0,2,2,,Bing,4.0--4.5,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1
103012_04,4.28,1-BB,Feature,broken,2,Size,short,2,Size,long,2,Feature,dirty,1,2,2,4,,Bing,4.0--4.5,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1
120512_03,4.31,2-AA,Size,small,1,Feature,pointy,0,Size,long,1,Feature,dirty,1,2,1,3,,Bing,4.0--4.5,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1
103012_06,4.33,1-AB,Size,small,1,Feature,pointy,1,Feature,wet,1,Size,tall,1,2,2,4,,Bing,4.0--4.5,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1
120512_01,4.34,2-BB,Feature,broken,1,Size,short,1,Feature,wet,1,Size,tall,1,2,2,4,aliens4 posttest,Bing,4.0--4.5,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1
101612_02,4.35,2-BB,Feature,broken,1,Size,short,0,Feature,wet,1,Size,tall,1,1,2,3,,Bing,4.0--4.5,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1
101612_03,4.39,2-BA,Feature,broken,1,Size,short,1,Feature,wet,1,Size,tall,1,2,2,4,,Bing,4.0--4.5,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1
102012_11,4.39,2-BA,Feature,broken,0,Size,short,1,Feature,wet,1,Size,tall,1,2,1,3,good clip,CDM,4.0--4.5,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1
101612_01,4.41,2-AB,Size,small,1,Feature,pointy,1,Size,long,1,Feature,dirty,1,2,2,4,,Bing,4.0--4.5,85.71,1,1,1,1,1,1,1,1,1,1,,,1,1
102012_05,4.41,1-BA,Feature,broken,1,Size,short,1,Size,long,1,Feature,dirty,1,2,2,4,,CDM,4.0--4.5,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1
101912_01,4.42,1-AA,Size,small,1,Feature,pointy,1,Feature,wet,1,Size,tall,1,2,2,4,nice clip,CDM,4.0--4.5,85.71,1,1,1,0,1,1,1,0,1,1,1,1,1,1
103012_05,4.46,1-AA,Size,small,1,Feature,pointy,1,Feature,wet,1,Size,tall,0,1,2,3,,Bing,4.0--4.5,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1
111612_11,4.47,2-AA,Size,small,1,Feature,pointy,1,Size,long,1,Feature,dirty,1,2,2,4,,CDM,4.0--4.5,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1
111612_14,4.47,1-AB,Size,small,0,Feature,pointy,1,Feature,wet,1,Size,tall,0,0,2,2,,CDM,4.0--4.5,100,1,1,1,1,1,1,1,1,1,1,1,1,1,1
101812_03,4.48,1-BB,Feature,broken,1,Size,short,1,Size,long,1,Feature,dirty,0,2,1,3,,Bing,4.0--4.5,92.86,1,0,1,1,1,1,1,1,1,1,1,1,1,1
