Sub_ID,experimenter,Age,condition,book_type,glorp_type,glorp_adj,glorp,peebo_type,peebo_adj,peebo,tibu_type,tibu_adj,tibu,zib_type,zib_adj,zib,Size_correct,Feature_correct,total correct,agegroup,posttest,broken,whole,shortest,longest,clean,dirty,tallest,shortest,wet,dry,biggest,smallest,smoothest,pointiest
111513_05,ACH,4.17,1-BB,Adjective_Only,Feature,broken,1,Size,short,1,Size,long,0,Feature,dirty,1,1,2,3,4.0-4.5,100,,,,,,,,,,,,,,
112113_01,LHH,4.16,1-BA,Adjective_Only,Feature,broken,1,Size,short,1,Size,long,0,Feature,dirty,0,1,1,2,4.5-5.0,100,,,,,,,,,,,,,,
010914_01,LHH,4.73,1-AA,Adjective_Only,Size,small,0,Feature,pointy,0,Feature,wet,1,Size,tall,0,0,1,1,4.5-5.0,100,,,,,,,,,,,,,,
011414-02,LHH,4.4,2-AA,Adjective_Only,Size,small,1,Feature,pointy,0,Size,long,0,Feature,dirty,1,1,1,2,4.0-4.5,100,,,,,,,,,,,,,,
012414_01,LHH,4.02,2-BA,Adjective_Only,Feature,broken,1,Size,short,1,Feature,wet,0,Size,tall,1,2,1,3,4.0-4.5,100,,,,,,,,,,,,,,
012414_02,LHH,4.46,2-AB,Adjective_Only,Size,small,1,Feature,pointy,0,Size,long,0,Feature,dirty,1,1,1,2,4.0-4.5,100,,,,,,,,,,,,,,
012714_01,LHH,4.67,2-AB,Adjective_Only,Size,small,1,Feature,pointy,0,Size,long,0,Feature,dirty,1,1,1,2,4.5-5.0,100,,,,,,,,,,,,,,
013114_01,LHH,4,1-AB,Adjective_Only,Size,small,1,Feature,pointy,1,Feature,wet,1,Size,tall,0,1,2,3,4.0-4.5,100,,,,,,,,,,,,,,
013114_03,LHH,4.57,2-BB,Adjective_Only,Feature,broken,1,Size,short,1,Feature,wet,1,Size,tall,1,2,2,4,4.5-5.0,100,,,,,,,,,,,,,,
013114_04,LHH,4.73,2-BB,Adjective_Only,Feature,broken,1,Size,short,0,Feature,wet,1,Size,tall,1,1,2,3,4.5-5.0,100,,,,,,,,,,,,,,
020614_02,LHH,4.95,1-AB,Adjective_Only,Size,small,0,Feature,pointy,0,Feature,wet,0,Size,tall,0,0,0,0,4.5-5.0,100,,,,,,,,,,,,,,
