Subj_ID,location,age,agegroup,gender,list,trial1,trial1_type,trial1_adj,trial1_correct,trial2,trial2_type,trial2_adj,trial2_correct,trial3,trial3_type,trial3_adj,trial3_correct,trial4,trial4_type,trial4_adj,trial4_correct,trial5,trial5_type,trial5_adj,trial5_correct,trial6,trial6_type,trial6_adj,trial6_correct,trial7,trial7_type,trial7_adj,trial7_correct,trial8,trial8_type,trial8_adj,trial8_correct,notes
011415_01,Bing,4.53,4.5-5.0,M,1A,plizzle,Size,small,0,zib,Feature,clean,1,peebo,Size,long,1,toma,Feature,open,1,moki,Size,short,0,glorp,Feature,empty,1,zorbu,Size,fat,0,dak,Feature,round,0,
012315_04,Bing,4.53,4.5-5.0,M,1A,plizzle,Size,small,0,zib,Feature,clean,0,peebo,Size,long,1,toma,Feature,open,1,moki,Size,short,1,glorp,Feature,empty,1,zorbu,Size,fat,0,dak,Feature,round,1,
011715_01,CDM,4.8,4.5-5.0,F,1A,plizzle,Size,small,1,zib,Feature,clean,1,peebo,Size,long,0,toma,Feature,open,0,moki,Size,short,1,glorp,Feature,empty,1,zorbu,Size,fat,0,dak,Feature,round,0,
012015_05,Bing,4.93,4.5-5.0,M,1A,plizzle,Size,small,0,zib,Feature,clean,1,peebo,Size,long,1,toma,Feature,open,1,moki,Size,short,0,glorp,Feature,empty,1,zorbu,Size,fat,0,dak,Feature,round,1,
011715_02,CDM,4.66,4.5-5.0,F,1B,plizzle,Feature,hot,1,zib,Size,tall,1,peebo,Feature,hard,1,toma,Size,skinny,1,moki,Feature,bright,1,glorp,Size,big,1,zorbu,Feature,dry,1,dak,Size,short,1,
011715_18,CDM,4.71,4.5-5.0,F,1B,plizzle,Feature,hot,1,zib,Size,tall,0,peebo,Feature,hard,1,toma,Size,skinny,1,moki,Feature,bright,1,glorp,Size,big,1,zorbu,Feature,dry,1,dak,Size,short,1,
011515_02,Bing,4.97,4.5-5.0,M,1B,plizzle,Feature,hot,1,zib,Size,tall,1,peebo,Feature,hard,1,toma,Size,skinny,1,moki,Feature,bright,1,glorp,Size,big,1,zorbu,Feature,dry,1,dak,Size,short,1,
012315_03,Bing,4.65,4.5-5.0,M,2A,plizzle,Size,big,1,zib,Feature,dirty,0,peebo,Size,short,1,toma,Feature,closed,1,moki,Size,tall,0,glorp,Feature,full,0,zorbu,Size,skinny,1,dak,Feature,pointy,1,
011815_14,CDM,4.69,4.5-5.0,M,2A,plizzle,Size,big,1,zib,Feature,dirty,1,peebo,Size,short,1,toma,Feature,closed,1,moki,Size,tall,0,glorp,Feature,full,1,zorbu,Size,skinny,1,dak,Feature,pointy,1,
011715_14,CDM,4.84,4.5-5.0,M,2A,plizzle,Size,big,0,zib,Feature,dirty,1,peebo,Size,short,1,toma,Feature,closed,1,moki,Size,tall,1,glorp,Feature,full,1,zorbu,Size,skinny,0,dak,Feature,pointy,1,
011715_19,CDM,4.71,4.5-5.0,F,2B,plizzle,Feature,cold,1,zib,Size,short,0,peebo,Feature,soft,1,toma,Size,fat,0,moki,Feature,dark,1,glorp,Size,small,0,zorbu,Feature,wet,1,dak,Size,long,1,
011615_04,Bing,4.79,4.5-5.0,F,2B,plizzle,Feature,cold,1,zib,Size,short,0,peebo,Feature,soft,0,roma,Size,fat,0,moki,Feature,dark,1,glorp,Size,small,1,zorbu,Feature,wet,0,dak,Size,long,0,
012615_03,Bing,4.88,4.5-5.0,F,2B,plizzle,Feature,cold,1,zib,Size,short,1,peebo,Feature,soft,1,toma,Size,fat,1,moki,Feature,dark,1,glorp,Size,small,1,zorbu,Feature,wet,1,dak,Size,long,1,
011415_03,Bing,4.63,4.5-5.0,M,3A,dak,Feature,round,1,zorbu,Size,fat,1,glorp,Feature,empty,1,moki,Size,short,1,toma,Feature,open,1,peebo,Size,long,1,zib,Feature,clean,1,plizzle,Size,small,1,
011815_03,CDM,4.65,4.5-5.0,M,3A,dak,Feature,round,1,zorbu,Size,fat,0,glorp,Feature,empty,1,moki,Size,short,1,toma,Feature,open,0,peebo,Size,long,1,zib,Feature,clean,1,plizzle,Size,small,1,
012115_03,Bing,4.65,4.5-5.0,F,3A,dak,Feature,round,1,zorbu,Size,fat,1,glorp,Feature,empty,1,moki,Size,short,1,toma,Feature,open,1,peebo,Size,long,1,zib,Feature,clean,1,plizzle,Size,small,0,
011615_03,Bing,4.56,4.5-5.0,F,3B,dak,Size,short,1,zorbu,Feature,dry,1,glorp,Size,big,0,moki,Feature,bright,1,toma,Size,skinny,1,peebo,Feature,hard,0,zib,Size,tall,0,plizzle,Feature,hot,1,articulated moki trial
011815_04,CDM,4.79,4.5-5.0,F,3B,dak,Size,short,0,zorbu,Feature,dry,1,glorp,Size,big,1,moki,Feature,bright,0,toma,Size,skinny,1,peebo,Feature,hard,0,zib,Size,tall,0,plizzle,Feature,hot,1,
011815_10,CDM,4.85,4.5-5.0,F,3B,dak,Size,short,0,zorbu,Feature,dry,1,glorp,Size,big,0,moki,Feature,bright,0,toma,Size,skinny,0,peebo,Feature,hard,0,zib,Size,tall,0,plizzle,Feature,hot,1,
011815_02,CDM,4.71,4.5-5.0,F,4A,dak,Feature,pointy,0,zorbu,Size,skinny,1,glorp,Feature,full,1,moki,Size,tall,1,toma,Feature,closed,0,peebo,Size,short,1,zib,Feature,dirty,1,plizzle,Size,big,1,
012115_04,Bing,4.76,4.5-5.0,M,4A,dak,Size,long,0,zorbu,Feature,wet,0,glorp,Size,small,1,moki,Feature,dark,1,toma,Size,fat,0,peebo,Feature,soft,0,zib,Size,short,1,plizzle,Feature,cold,1,
011815_13,CDM,4.84,4.5-5.0,F,4A,dak,Feature,pointy,0,zorbu,Size,skinny,1,glorp,Feature,full,0,moki,Size,tall,0,toma,Feature,closed,0,peebo,Size,short,1,zib,Feature,dirty,1,plizzle,Size,big,0,
012615_04,Bing,4.84,4.5-5.0,M,4A,dak,Feature,pointy,0,zorbu,Size,skinny,1,glorp,Feature,full,0,moki,Size,tall,0,toma,Feature,closed,1,peebo,Size,short,0,zib,Feature,dirty,1,plizzle,Size,big,0,
011815_08,CDM,4.66,4.5-5.0,F,4B,dak,Size,long,0,zorbu,Feature,wet,1,glorp,Size,small,1,moki,Feature,dark,1,toma,Size,fat,1,peebo,Feature,soft,1,zib,Size,short,0,plizzle,Feature,cold,1,
011615_02,Bing,4.73,4.5-5.0,F,4B,dak,Size,long,1,zorbu,Feature,wet,1,glorp,Size,small,1,moki,Feature,dark,1,toma,Size,fat,1,peebo,Feature,soft,0,zib,Size,short,0,plizzle,Feature,cold,1,
